Timestamp,What is your average number of hours of sleep per night?,"How often do you eat junk food (e.g., chips, sodas, fast food) in a typical week?",How would you rate the overall quality of the hostel mess food?,How many main meals do you usually eat in a day?,Which meal do you skip most often?,  What is the main reason you skip meals?  ,  How nutritious do you think your daily meals are?  ,"On a scale of 1 to 10, what was your general level of fatigue during the past week?","How many times were you sick (e.g., cold, fever, stomach issues) in the past month?","How often do you skip major meals (breakfast, lunch, or dinner) because of schedule conflicts or mess timings?","On how many days per week, on average, do you engage in physical activity (exercise, sports, etc.) for at least 30 minutes?","On a scale of 1 to 10, what is your typical stress level during the academic term?","Do hostel rules or lifestyle changes (e.g., fixed timings, study pressure) affect your sleep or daily routine?","In the past month, to what extent do you feel the hostel lifestyle has negatively affected your overall health (physical or mental)? (Health Risk Indicator)","Which of the following health-related issues, if any, have you experienced or been concerned about since moving into the hostel? (Select all that apply)"
04/03/2026 21:53:18,5–6 hours,1–2 times,Average,3 meals a day regularly,breakfast,Food timing issues,Moderately nutritious,7,More than 4 times,Often,None,7,Moderately,Significantly,"Weight changes (loss or gain), Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
04/03/2026 21:55:36,7–8 hours,1–2 times,Average,3 meals a day regularly,breakfast,Food timing issues,Not very nutritious,7,1–2 times,Sometimes,None,7,Slightly,Moderately,"Weight changes (loss or gain), Frequent headaches/migraines, Increased anxiety or mood swings"
04/03/2026 21:57:41,6–7 hours,1–2 times,Average,2 meals a day regularly,lunch,Poor mess/food quality,Not very nutritious,5,1–2 times,Sometimes,3–4 days,9,Moderately,Moderately,"Weight changes (loss or gain), Increased anxiety or mood swings"
04/03/2026 21:59:26,7–8 hours,1–2 times,Poor,2 meals a day regularly,lunch,Poor mess/food quality,Mostly junk/processed food,7,1–2 times,Sometimes,None,8,Moderately,Moderately,Frequent headaches/migraines
04/03/2026 22:02:46,7–8 hours,3–4 times,Good,3 meals a day regularly,breakfast,Food timing issues,Moderately nutritious,6,1–2 times,Rarely,None,8,Moderately,Slightly,"Weight changes (loss or gain), Frequent headaches/migraines, Persistent cold/cough"
04/03/2026 22:06:04,7–8 hours,1–2 times,Poor,3 meals a day regularly,breakfast,Busy class schedule,Not very nutritious,8,1–2 times,Sometimes,1–2 days,10,Significantly,Significantly,"Weight changes (loss or gain), Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
04/03/2026 22:13:08,5–6 hours,3–4 times,Poor,3 meals a day regularly,breakfast,Busy class schedule,Not very nutritious,7,1–2 times,Sometimes,None,6,Slightly,Significantly,"Weight changes (loss or gain), Persistent cold/cough, Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:16:19,5–6 hours,3–4 times,Average,2 meals a day regularly,lunch,Busy class schedule,Moderately nutritious,5,1–2 times,Sometimes,1–2 days,5,Moderately,Moderately,Persistent cold/cough
04/03/2026 22:19:18,6–7 hours,3–4 times,Average,2 meals a day regularly,breakfast,Poor mess/food quality,Moderately nutritious,6,1–2 times,Often,1–2 days,7,Slightly,Slightly,Frequent headaches/migraines
04/03/2026 22:20:39,6–7 hours,1–2 times,Average,3 meals a day regularly,usually do not skip meals,Not feeling hungry,Not very nutritious,7,1–2 times,Sometimes,1–2 days,2,Slightly,Slightly,"Weight changes (loss or gain), Increased anxiety or mood swings"
04/03/2026 22:21:52,6–7 hours,More than 4 times,Average,2 meals a day regularly,breakfast,Poor mess/food quality,Moderately nutritious,8,1–2 times,Sometimes,1–2 days,9,Moderately,Moderately,"Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:24:06,Less than 5 hours,More than 4 times,Average,very much irregular,breakfast,Not feeling hungry,Not very nutritious,5,1–2 times,Sometimes,None,9,Slightly,Moderately,"Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:24:57,6–7 hours,1–2 times,Good,3 meals a day regularly,usually do not skip meals,Not feeling hungry,Moderately nutritious,6,1–2 times,Rarely,1–2 days,8,Slightly,Slightly,Increased anxiety or mood swings
04/03/2026 22:26:51,6–7 hours,3–4 times,Average,3 meals a day regularly,breakfast,Busy class schedule,Not very nutritious,7,1–2 times,Sometimes,1–2 days,8,Moderately,Slightly,"Weight changes (loss or gain), Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:28:47,6–7 hours,3–4 times,Good,3 meals a day regularly,usually do not skip meals,Poor mess/food quality,Moderately nutritious,7,3–4 times,Rarely,3–4 days,10,Moderately,Slightly,"Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:30:22,6–7 hours,3–4 times,Average,3 meals a day regularly,usually do not skip meals,Poor mess/food quality,Not very nutritious,4,0,Sometimes,1–2 days,9,Moderately,Moderately,"Weight changes (loss or gain), Frequent headaches/migraines, Increased anxiety or mood swings"
04/03/2026 22:30:50,5–6 hours,3–4 times,Average,2 meals a day regularly,breakfast,Poor mess/food quality,Not very nutritious,6,1–2 times,Sometimes,None,8,Moderately,Moderately,"Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
04/03/2026 22:31:14,7–8 hours,1–2 times,Good,3 meals a day regularly,usually do not skip meals,Busy class schedule,Moderately nutritious,5,3–4 times,Rarely,None,5,Slightly,Slightly,"Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:31:38,Less than 5 hours,More than 4 times,Poor,very much irregular,usually do not skip meals,Don't know,Mostly junk/processed food,5,0,Often,5+ days,5,Significantly,Significantly,"Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:32:20,Less than 5 hours,More than 4 times,Poor,very much irregular,usually do not skip meals,Don't know,Mostly junk/processed food,5,0,Often,3–4 days,10,Significantly,Moderately,No major health issues
04/03/2026 22:32:41,7–8 hours,More than 4 times,Good,3 meals a day regularly,breakfast,Busy class schedule,"Very nutritious (balanced meals with vegetables, protein, etc.)",6,1–2 times,Sometimes,None,5,Slightly,Slightly,Weight changes (loss or gain)
04/03/2026 22:33:37,5–6 hours,3–4 times,Average,3 meals a day regularly,lunch,Poor mess/food quality,Moderately nutritious,5,1–2 times,Sometimes,1–2 days,5,Slightly,Slightly,No major health issues
04/03/2026 22:34:22,7–8 hours,More than 4 times,Average,2 meals a day regularly,lunch,Busy class schedule,Moderately nutritious,6,1–2 times,Often,None,8,Moderately,Slightly,"Weight changes (loss or gain), Increased anxiety or mood swings"
04/03/2026 22:34:30,5–6 hours,1–2 times,Average,3 meals a day regularly,usually do not skip meals,Poor mess/food quality,Not very nutritious,6,1–2 times,Sometimes,1–2 days,7,Significantly,Moderately,Weight changes (loss or gain)
04/03/2026 22:35:40,5–6 hours,More than 4 times,Poor,very much irregular,breakfast,Poor mess/food quality,Not very nutritious,8,3–4 times,Often,1–2 days,10,Significantly,Significantly,"Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:37:10,Less than 5 hours,Never,Average,only one meal per day,breakfast,Busy class schedule,"Very nutritious (balanced meals with vegetables, protein, etc.)",5,1–2 times,Sometimes,1–2 days,5,Moderately,Moderately,"Weight changes (loss or gain), Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
04/03/2026 22:42:09,7–8 hours,1–2 times,Good,2 meals a day regularly,dinner,Trying to control weight,"Very nutritious (balanced meals with vegetables, protein, etc.)",10,0,Often,5+ days,10,Significantly,Moderately,Persistent cold/cough
04/03/2026 22:43:55,7–8 hours,More than 4 times,Poor,2 meals a day regularly,dinner,Poor mess/food quality,Not very nutritious,5,1–2 times,,,5,Moderately,Moderately,"Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation)"
04/03/2026 22:49:02,Less than 5 hours,Never,Average,3 meals a day regularly,usually do not skip meals,Busy class schedule,Moderately nutritious,7,0,Rarely,3–4 days,10,Significantly,Slightly,No major health issues
04/03/2026 22:50:35,6–7 hours,Never,Very good,3 meals a day regularly,usually do not skip meals,Trying to control weight,Moderately nutritious,10,0,Never,,8,Moderately,"No, not at all",Weight changes (loss or gain)
04/03/2026 23:04:01,5–6 hours,3–4 times,Average,3 meals a day regularly,lunch,Not feeling hungry,Not very nutritious,10,1–2 times,Sometimes,None,8,Slightly,Slightly,"Weight changes (loss or gain), Frequent headaches/migraines, Persistent cold/cough"
04/03/2026 23:12:10,6–7 hours,3–4 times,Very good,2 meals a day regularly,lunch,Trying to control weight,Moderately nutritious,10,0,Rarely,1–2 days,2,Not at all,"No, not at all",No major health issues
04/03/2026 23:16:45,Less than 5 hours,1–2 times,Poor,2 meals a day regularly,breakfast,Busy class schedule,Not very nutritious,4,1–2 times,Often,1–2 days,3,Slightly,"No, not at all","Persistent cold/cough, Digestive issues (e.g., acidity, constipation)"
05/03/2026 00:10:04,5–6 hours,Never,Good,3 meals a day regularly,usually do not skip meals,Busy class schedule,Moderately nutritious,5,1–2 times,Rarely,1–2 days,8,Slightly,Slightly,Increased anxiety or mood swings
05/03/2026 00:20:36,Less than 5 hours,3–4 times,Poor,2 meals a day regularly,breakfast,Poor mess/food quality,Mostly junk/processed food,9,0,Sometimes,5+ days,4,Slightly,Slightly,"Weight changes (loss or gain), Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
05/03/2026 02:28:35,5–6 hours,1–2 times,Average,2 meals a day regularly,lunch,Busy class schedule,Moderately nutritious,7,0,Sometimes,1–2 days,5,Not at all,"No, not at all","Frequent headaches/migraines, No major health issues"
05/03/2026 05:36:02,Less than 5 hours,3–4 times,Poor,2 meals a day regularly,breakfast,Poor mess/food quality,Not very nutritious,7,1–2 times,Often,None,10,Slightly,Moderately,"Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
05/03/2026 05:41:46,7–8 hours,3–4 times,Average,3 meals a day regularly,usually do not skip meals,Trying to control weight,Moderately nutritious,6,0,Sometimes,3–4 days,5,Slightly,Slightly,"Weight changes (loss or gain), No major health issues"
05/03/2026 08:11:45,6–7 hours,1–2 times,Average,3 meals a day regularly,breakfast,Food timing issues,Moderately nutritious,6,0,Rarely,None,3,Slightly,Moderately,Persistent cold/cough
05/03/2026 10:34:23,6–7 hours,1–2 times,Good,3 meals a day regularly,usually do not skip meals,Poor mess/food quality,Moderately nutritious,3,0,Rarely,5+ days,5,Not at all,Slightly,"Weight changes (loss or gain), Increased anxiety or mood swings"
05/03/2026 10:44:57,7–8 hours,1–2 times,Good,3 meals a day regularly,usually do not skip meals,I usually won't skip ,Moderately nutritious,4,0,Never,5+ days,1,Slightly,Slightly,"Persistent cold/cough, Digestive issues (e.g., acidity, constipation)"
06/03/2026 10:51:01,6–7 hours,3–4 times,Average,2 meals a day regularly,breakfast,Busy class schedule,Not very nutritious,7,1–2 times,Sometimes,1–2 days,8,Significantly,Significantly,"Weight changes (loss or gain), Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
06/03/2026 10:59:57,5–6 hours,3–4 times,Average,2 meals a day regularly,breakfast,Poor mess/food quality,Mostly junk/processed food,7,3–4 times,Often,1–2 days,8,Moderately,Moderately,"Weight changes (loss or gain), Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
06/03/2026 11:00:58,Less than 5 hours,More than 4 times,Average,very much irregular,breakfast,Food timing issues,Mostly junk/processed food,9,More than 4 times,Often,None,5,Significantly,Significantly,"Weight changes (loss or gain), Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation)"
06/03/2026 11:02:21,7–8 hours,1–2 times,Average,2 meals a day regularly,breakfast,Not feeling hungry,Not very nutritious,6,1–2 times,Sometimes,1–2 days,8,Significantly,Slightly,"Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
06/03/2026 11:04:40,5–6 hours,1–2 times,Average,2 meals a day regularly,breakfast,Poor mess/food quality,Not very nutritious,8,3–4 times,Sometimes,None,9,Moderately,Moderately,"Weight changes (loss or gain), Frequent headaches/migraines, Persistent cold/cough, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"
06/03/2026 11:05:41,5–6 hours,1–2 times,Average,2 meals a day regularly,dinner,Poor mess/food quality,Not very nutritious,7,3–4 times,Often,1–2 days,10,Moderately,Slightly,"Weight changes (loss or gain), Persistent cold/cough, Digestive issues (e.g., acidity, constipation)"
06/03/2026 11:07:15,5–6 hours,1–2 times,Poor,2 meals a day regularly,lunch,Poor mess/food quality,Mostly junk/processed food,7,1–2 times,Rarely,None,7,Moderately,Slightly,"Weight changes (loss or gain), Frequent headaches/migraines, Digestive issues (e.g., acidity, constipation), Increased anxiety or mood swings"